Weight class,Method,time
"['Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight']","['SUB', 'SUB', 'KO/TKO', 'SUB', 'KO/TKO', 'SUB', 'SUB', 'SUB', 'KO/TKO', 'SUB', 'KO/TKO', 'SUB', 'SUB', 'SUB', 'KO/TKO']","[('1', '0:20'), ('1', '0:58'), ('1', '12:13'), ('1', '4:52'), ('1', '2:50'), ('1', '9:51'), ('1', '6:41'), ('1', '5:08'), ('1', '0:30'), ('1', '3:07'), ('1', '1:29'), ('1', '1:07'), ('1', '1:07'), ('1', '1:31'), ('1', '1:17')]"
"['Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'KO/TKO']","[('1', '1:59'), ('1', '4:49'), ('1', '0:46'), ('1', '4:40'), ('1', '4:34'), ('1', '1:27')]"
"['Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight']","['SUB', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'SUB', 'SUB', 'SUB', 'SUB', 'SUB']","[('1', '0:14'), ('1', '4:55'), ('1', '2:13'), ('1', '3:49'), ('1', '2:44'), ('1', '4:47'), ('1', '1:45'), ('1', '5:32'), ('1', '0:52'), ('1', '15:49')]"
"['Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'SUB', 'KO/TKO', 'KO/TKO', 'SUB']","[('1', '0:21'), ('1', '2:02'), ('1', '1:23'), ('1', '2:55'), ('1', '2:23'), ('1', '1:38'), ('1', '2:12'), ('1', '4:21'), ('2', '5:00'), ('1', '3:01')]"
"['Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'KO/TKO', 'SUB', 'SUB', 'SUB']","[('1', '2:01'), ('1', '3:06'), ('1', '0:20'), ('1', '1:02'), ('1', '1:08'), ('1', '0:57'), ('1', '1:53'), ('1', '0:09'), ('1', '2:14'), ('1', '17:45')]"
"['Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight']","['KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'SUB', 'SUB', 'KO/TKO']","[('1', '0:48'), ('1', '5:26'), ('1', '0:31'), ('1', '1:05'), ('1', '1:41'), ('1', '3:05'), ('1', '3:23'), ('1', '1:01'), ('1', '12:27'), ('2', '3:00'), ('1', '13:17')]"
"['Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight']","['SUB', 'SUB', 'SUB', 'SUB', 'SUB', 'SUB', 'U-DEC', 'U-DEC', 'U-DEC']","[('1', '4:38'), ('1', '5:29'), ('1', '1:14'), ('1', '1:01'), ('1', '2:39'), ('1', '1:15'), ('1', '18:00'), ('1', '18:00'), ('2', '3:00')]"
"['Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight']","['KO/TKO', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO']","[('1', '0:50'), ('1', '0:08'), ('1', '10:00'), ('1', '9:03'), ('1', '0:13'), ('1', '0:48'), ('1', '5:31'), ('1', '4:24'), ('1', '2:14')]"
"['Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'S-DEC']","[('1', '7:25'), ('1', '3:14'), ('1', '5:32'), ('1', '12:00'), ('1', '0:47'), ('1', '9:30'), ('3', '3:00')]"
"['Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight', 'Open Weight']","['KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO']","[('1', '5:57'), ('2', '3:00'), ('1', '10:21'), ('1', '2:25'), ('1', '2:43'), ('1', '1:28'), ('1', '4:37'), ('1', '7:00'), ('1', '11:34')]"
