Fighter,Elo,UFC Record,Unbeaten Streak,Avg. Opp. Elo,Last 5 Fights,DelME,DelME1,DelME2,DelME3
place holder,0,0,0
Jon Jones,363.863,21-1-0,18,175.364,+ 10.0,+ 9.5,+ 10.7,+ 9.3,+ 10.7
Georges St-Pierre,346.526,20-2-0,13,172.382,+ 12.4,+ 12.4,+ 8.3,+ 10.2,+ 8.6
Charles Oliveira,293.590,22-9-0,1,160.981,+ 15.7,- 18.0,+ 11.3,+ 17.3,+ 10.0
Khabib Nurmagomedov,292.587,13-0-0,13,165.623,+ 11.4,+ 16.3,+ 15.0,+ 14.2,+ 16.1
Dustin Poirier,287.057,21-6-0,1,154.904,+ 9.1,- 17.3,+ 12.9,+ 14.2,+ 13.5
Islam Makhachev,286.728,13-1-0,12,168.892,+ 17.0,+ 18.0,+ 12.1,+ 14.0,+ 12.7
Kamaru Usman,285.422,15-2-0,0,191.523,- 17.8,- 19.6,+ 13.0,+ 11.1,+ 13.7
Aljamain Sterling,284.001,15-3-0,9,164.246,+ 14.6,+ 15.2,+ 14.7,+ 15.4,+ 14.9
Leon Edwards,280.988,13-2-0,11,168.712,+ 17.8,+ 19.6,+ 13.4,+ 17.0,+ 15.1
Amanda Nunes,277.681,16-2-0,2,135.325,+ 11.0,+ 12.5,- 21.3,+ 9.6,+ 9.9
Alexander Volkanovski,274.928,12-1-0,0,194.737,- 17.0,+ 15.9,+ 12.0,+ 14.0,+ 17.5
Max Holloway,273.089,20-7-0,1,166.723,+ 15.3,- 15.9,+ 13.4,+ 12.4,- 17.5
Belal Muhammad,272.166,14-3-0,9,155.911,+ 15.6,+ 13.2,+ 17.3,+ 15.2,+ 17.9
Demetrious Johnson,268.642,15-2-1,0,137.696,- 21.2,+ 10.3,+ 11.2,+ 8.1,+ 12.2
Israel Adesanya,266.276,13-2-0,1,188.216,+ 12.4,- 21.4,+ 11.9,+ 17.0,+ 13.8
Francis Ngannou,263.779,12-2-0,6,180.671,+ 14.4,+ 18.0,+ 13.6,+ 18.1,+ 18.8
Robert Whittaker,263.539,15-4-0,1,167.361,+ 13.1,- 17.0,+ 12.5,+ 11.6,+ 13.4
Stipe Miocic,257.050,14-4-0,0,185.037,- 18.0,+ 15.7,+ 17.3,- 16.9,+ 13.6
Beneil Dariush,256.262,16-5-1,0,158.608,- 15.7,+ 11.3,+ 16.6,+ 14.6,+ 13.6
Colby Covington,244.725,12-3-0,1,181.098,+ 13.6,- 13.0,+ 14.6,- 15.5,+ 14.4
Ryan Bader,239.312,15-5-0,2,147.086,+ 11.6,+ 12.9,- 17.7,+ 17.5,+ 16.1
Daniel Cormier,237.863,11-3-0,0,212.729,- 15.7,- 17.3,+ 14.6,+ 16.9,+ 12.7
Jon Fitch,234.447,14-3-1,0,141.576,- 18.6,+ 10.5,- 19.9,+ 2.2,+ 13.2
Royce Gracie,233.102,11-1-1,0,128.495,- 16.9,+ 0.9,+ 11.3,+ 11.7,+ 10.9
Gilbert Burns,231.446,15-6-0,0,160.982,- 15.6,+ 12.8,+ 17.4,- 19.3,+ 15.4
Valentina Shevchenko,230.851,12-3-0,0,145.304,- 19.9,+ 12.0,+ 12.7,+ 14.8,+ 12.4
Neil Magny,229.206,20-9-0,0,149.356,- 17.4,+ 14.2,- 20.4,+ 10.6,+ 12.9
Arnold Allen,226.317,10-1-0,0,136.942,- 15.3,+ 12.9,+ 13.8,+ 14.4,+ 15.7
Henry Cejudo,224.271,10-3-0,0,186.238,- 14.6,+ 13.5,+ 13.9,+ 18.2,+ 21.2
Cain Velasquez,223.948,12-3-0,0,156.986,- 18.8,+ 14.1,- 18.6,+ 16.0,+ 11.7
Rafael Dos Anjos,223.561,21-12-0,1,165.005,+ 13.5,- 18.8,+ 13.6,+ 14.6,- 17.8
Yair Rodriguez,223.379,10-2-0,2,155.198,+ 16.3,+ 16.1,- 13.4,+ 13.1,+ 14.9
Curtis Blaydes,223.325,12-4-0,0,157.500,- 19.2,+ 13.8,+ 13.1,+ 14.6,- 15.2
Michael Bisping,222.677,20-9-0,0,143.311,- 18.8,- 12.4,+ 11.2,+ 13.9,+ 18.9
TJ Dillashaw,222.276,13-5-0,0,160.273,- 15.2,+ 15.2,- 18.2,+ 13.9,+ 15.3
Magomed Ankalaev,221.482,9-1-1,10,135.815,- 0.3,+ 15.4,+ 15.8,+ 13.8,+ 15.5
Glover Teixeira,221.428,16-7-0,0,164.797,- 19.4,- 21.6,+ 14.6,+ 14.6,+ 14.1
Benson Henderson,221.051,11-3-0,2,171.552,+ 13.9,+ 13.2,- 14.3,- 17.8,+ 13.0
Jan Blachowicz,217.465,12-6-1,2,160.940,+ 0.3,+ 15.0,- 14.6,+ 18.4,+ 16.1
Vicente Luque,216.998,14-5-0,0,140.488,- 19.1,- 17.3,+ 14.9,+ 14.1,+ 13.2
Demian Maia,215.599,22-11-0,0,155.619,- 17.9,- 18.4,+ 10.1,+ 13.6,+ 11.5
Francisco Trinaldo,215.016,18-8-0,0,133.538,- 18.4,+ 12.5,+ 11.9,- 19.4,+ 10.8
Merab Dvalishvili,214.812,9-2-0,9,132.332,+ 15.1,+ 17.5,+ 14.6,+ 15.9,+ 16.9
Anthony Johnson,211.229,13-6-0,0,149.845,- 16.8,+ 15.6,+ 17.7,+ 14.6,- 17.9
Don Frye,211.003,9-1-0,3,120.341,+ 13.7,+ 13.5,+ 12.7,- 18.6,+ 13.2
Matt Hughes,209.192,18-7-0,0,134.204,- 17.2,- 18.9,+ 11.6,+ 10.6,+ 12.1
Deiveson Figueiredo,208.883,10-3-1,0,164.327,- 17.9,+ 14.7,- 19.0,+ 1.6,+ 14.3
Gegard Mousasi,208.649,9-3-0,5,158.465,+ 17.2,+ 12.8,+ 17.5,+ 16.3,+ 18.8
Dong Hyun Kim,208.565,13-4-0,0,128.937,- 18.3,+ 11.2,+ 10.7,+ 11.6,- 20.1
Sean Strickland,208.150,13-5-0,1,139.978,+ 14.0,- 18.4,- 20.5,+ 14.2,+ 14.5
Cory Sandhagen,208.067,9-3-0,2,185.569,+ 17.4,+ 17.4,- 15.7,- 15.2,+ 17.9
Grant Dawson,207.797,7-0-1,8,133.468,+ 14.7,+ 14.7,- 0.5,+ 17.9,+ 14.5
Movsar Evloev,207.628,7-0-0,7,134.947,+ 11.7,+ 14.4,+ 15.9,+ 16.6,+ 15.2
Ciryl Gane,206.239,8-2-0,0,189.883,- 10.0,+ 15.2,- 14.4,+ 18.4,+ 16.2
Brendan Allen,205.493,9-2-0,4,134.383,+ 15.5,+ 16.4,+ 14.1,+ 12.6,- 18.1
Raquel Pennington,205.032,12-5-0,5,127.178,+ 15.2,+ 13.9,+ 15.8,+ 15.6,+ 15.0
John Lineker,204.179,12-4-0,0,123.946,- 19.4,+ 12.6,+ 13.0,- 16.9,+ 14.8
Marlon Vera,204.070,14-7-0,0,132.404,- 17.4,+ 15.2,+ 15.6,+ 17.7,+ 14.2
Brandon Moreno,203.662,9-3-2,2,162.958,+ 17.9,+ 16.1,- 14.7,+ 19.0,- 1.6
Song Yadong,202.916,9-2-1,1,141.005,+ 16.5,- 17.4,+ 12.9,+ 13.7,+ 15.4
Sean O'Malley,202.445,8-1-0,4,124.711,+ 16.5,+ 13.7,+ 13.3,+ 14.3,- 16.1
Conor McGregor,202.138,10-4-0,0,193.113,- 12.9,- 14.2,+ 16.7,- 15.0,+ 12.9
Lyoto Machida,201.455,16-8-0,2,162.516,+ 16.2,+ 14.3,- 16.4,- 17.0,- 19.6
Rustam Khabilov,200.767,10-3-0,1,132.441,+ 12.7,- 18.6,+ 13.2,+ 13.1,+ 14.4
Tony Ferguson,200.168,15-6-0,0,157.666,- 18.7,- 22.3,- 16.6,- 17.6,- 22.2
Randy Couture,199.758,16-8-0,0,156.794,- 17.5,+ 11.3,+ 13.4,+ 15.1,- 19.4
Alexander Volkov,198.848,10-4-0,2,162.500,+ 14.7,+ 15.4,- 17.0,+ 16.1,- 16.2
Khamzat Chimaev,198.637,6-0-0,6,148.902,+ 16.3,+ 19.3,+ 17.9,+ 15.1,+ 15.3
Jose Aldo,198.392,13-7-0,0,186.793,- 17.5,+ 15.9,+ 15.4,+ 16.3,- 15.5
Joseph Benavidez,198.025,15-6-0,0,136.185,- 19.8,- 17.8,- 19.5,+ 13.5,+ 12.5
Derek Brunson,197.443,14-7-0,0,155.310,- 18.2,- 19.8,+ 13.1,+ 15.3,+ 14.7
Josh Emmett,197.294,9-3-0,0,151.726,- 16.3,+ 14.9,+ 15.0,+ 16.4,+ 17.2
Elizeu Zaleski dos Santos,195.558,10-3-0,2,120.689,+ 12.9,+ 12.8,- 18.4,+ 13.7,- 17.1
Jonathan Martinez,193.984,9-3-0,5,119.183,+ 16.0,+ 16.5,+ 14.1,+ 17.4,+ 15.3
Stephen Thompson,193.624,12-6-1,1,163.110,+ 15.8,- 15.2,- 15.4,+ 15.3,+ 17.8
Fabricio Werdum,192.264,12-6-0,1,155.940,+ 15.6,- 18.4,- 18.9,+ 13.0,+ 11.6
Sergei Pavlovich,191.964,6-1-0,6,162.509,+ 19.2,+ 16.5,+ 20.0,+ 16.0,+ 17.9
Alex Morono,191.938,12-5-0,1,116.140,+ 14.0,- 17.0,+ 14.4,+ 14.8,+ 12.5
Kenny Florian,191.543,12-5-0,0,132.149,- 20.2,+ 12.2,- 16.4,+ 11.3,+ 13.1
Shavkat Rakhmonov,191.096,5-0-0,5,186.303,+ 16.6,+ 20.4,+ 15.7,+ 19.4,+ 19.0
Tatiana Suarez,190.906,6-0-0,6,120.918,+ 13.6,+ 14.7,+ 14.6,+ 15.2,+ 16.8
Gregor Gillespie,190.484,7-1-0,1,134.499,+ 16.5,- 16.5,+ 14.3,+ 15.5,+ 14.0
Rose Namajunas,190.254,9-4-0,0,160.476,- 17.1,+ 14.8,+ 16.3,+ 17.3,- 15.2
Zabit Magomedsharipov,189.410,6-0-0,6,113.854,+ 14.9,+ 15.2,+ 13.3,+ 14.7,+ 15.3
Marvin Vettori,188.992,9-4-1,1,154.419,+ 16.2,- 13.1,+ 15.9,- 13.8,+ 16.4
Anderson Silva,188.737,17-7-0,0,160.084,- 19.4,- 21.4,- 19.7,+ 13.2,- 18.9
Chuck Liddell,188.055,16-7-0,0,139.389,- 16.5,- 21.4,- 18.4,+ 9.6,- 21.6
Rani Yahya,187.561,13-5-1,0,105.902,- 18.0,+ 14.6,+ 11.8,+ 0.2,- 19.1
Giga Chikadze,186.827,7-1-0,0,127.230,- 18.2,+ 15.7,+ 15.9,+ 13.3,+ 15.4
Marcin Tybura,186.755,11-6-0,2,135.031,+ 13.4,+ 16.7,- 16.1,+ 12.8,+ 15.5
Yan Xiaonan,186.703,8-2-0,2,128.613,+ 17.2,+ 16.8,- 15.9,- 16.9,+ 15.0
Alexandre Pantoja,186.531,9-3-0,3,122.671,+ 15.6,+ 14.1,+ 14.0,- 18.1,+ 15.6
Zhang Weili,186.308,7-2-0,2,163.021,+ 17.5,+ 17.0,- 14.8,- 16.3,+ 17.2
Dricus Du Plessis,185.922,5-0-0,5,159.556,+ 18.2,+ 15.7,+ 19.1,+ 17.6,+ 15.3
Derrick Lewis,185.875,17-9-0,0,146.770,- 18.5,- 20.0,- 19.6,+ 13.0,- 18.4
Katlyn Chookagian,185.744,11-5-0,0,130.098,- 18.0,+ 14.7,+ 13.6,+ 15.3,+ 17.3
Jamahal Hill,185.718,6-1-0,4,140.828,+ 19.4,+ 16.9,+ 15.5,+ 16.7,- 15.7
Kyoji Horiguchi,185.545,7-1-0,3,110.532,+ 14.4,+ 14.2,+ 14.0,- 13.0,+ 13.4
TJ Grant,185.444,8-3-0,5,130.354,+ 18.4,+ 17.1,+ 17.4,+ 16.0,+ 16.2
Justin Gaethje,185.160,7-4-0,1,213.293,+ 16.9,- 11.3,+ 13.4,- 11.4,+ 22.2
Phil Davis,185.104,9-3-0,0,138.984,- 16.1,+ 15.3,- 18.6,+ 17.4,+ 12.1
Alexa Grasso,184.976,8-3-0,5,129.970,+ 19.9,+ 15.8,+ 14.3,+ 16.5,+ 16.7
Rich Franklin,183.754,14-6-0,0,137.190,- 20.7,+ 11.7,- 18.1,+ 16.5,- 19.0
Zak Cummings,183.149,10-4-0,2,121.175,+ 14.4,+ 12.7,- 17.1,+ 14.8,+ 14.3
Carla Esparza,183.046,10-5-0,0,135.369,- 17.5,+ 17.1,+ 16.9,+ 15.3,+ 16.0
Erin Blanchfield,182.580,5-0-0,5,143.153,+ 18.3,+ 15.7,+ 17.2,+ 16.0,+ 15.3
Rob Font,182.535,10-5-0,1,150.560,+ 16.4,- 15.6,- 15.9,+ 15.4,+ 15.4
Michael Chiesa,182.478,11-6-0,0,157.529,- 17.6,- 14.9,+ 18.3,+ 17.8,+ 16.4
Ricky Simon,181.530,8-3-0,0,146.974,- 16.5,+ 15.6,+ 16.3,+ 15.4,+ 14.3
Ilia Topuria,181.485,5-0-0,5,139.747,+ 17.2,+ 13.3,+ 17.6,+ 15.3,+ 18.1
Yoel Romero,180.578,9-4-0,0,181.604,- 14.7,- 18.4,- 15.9,+ 14.6,- 16.8
Randy Brown,180.498,10-5-0,0,136.246,- 18.3,+ 18.4,+ 15.3,+ 13.0,+ 16.5
Sodiq Yusuff,180.156,6-1-0,2,140.290,+ 12.9,+ 16.8,- 14.4,+ 16.1,+ 16.6
