Fighter,Peak Elo,Year Achieved,UFC Record,Avg. Opp. Elo
place holder,0,0,0,0
Jon Jones,363.863,2023,21-1-0,175.364
Georges St-Pierre,346.526,2017,20-2-0,172.382
Kamaru Usman,322.851,2021,15-2-0,191.523
Anderson Silva,315.715,2012,17-7-0,160.084
Tony Ferguson,297.683,2019,15-6-0,157.666
Donald Cerrone,296.204,2016,23-14-0,159.378
Charles Oliveira,295.886,2022,22-9-0,160.981
Dustin Poirier,295.194,2021,21-6-0,154.904
Khabib Nurmagomedov,292.587,2020,13-0-0,165.623
Alexander Volkanovski,291.951,2022,12-1-0,194.737
Demetrious Johnson,289.863,2017,15-2-1,137.696
Max Holloway,287.106,2018,20-7-0,166.723
Islam Makhachev,286.728,2023,13-1-0,168.892
Aljamain Sterling,284.001,2023,15-3-0,164.246
Leon Edwards,280.988,2023,13-2-0,168.712
Chuck Liddell,279.364,2006,16-7-0,139.389
Amanda Nunes,277.681,2023,16-2-0,135.325
Israel Adesanya,275.206,2022,13-2-0,188.216
Stipe Miocic,275.053,2020,14-4-0,185.037
Belal Muhammad,272.166,2023,14-3-0,155.911
Beneil Dariush,271.992,2022,16-5-1,158.608
Demian Maia,271.883,2017,22-11-0,155.619
Daniel Cormier,270.929,2018,11-3-0,212.729
Robert Whittaker,267.453,2021,15-4-0,167.361
Francis Ngannou,263.779,2022,12-2-0,180.671
Jon Fitch,262.482,2011,14-3-1,141.576
Glover Teixeira,262.364,2021,16-7-0,164.797
Rashad Evans,260.982,2012,14-8-1,163.315
Matt Hughes,259.541,2006,18-7-0,134.204
Chris Weidman,255.314,2015,11-6-0,190.057
Rafael Dos Anjos,255.263,2017,21-12-0,165.005
Joseph Benavidez,255.109,2019,15-6-0,136.185
Frankie Edgar,254.420,2017,18-11-1,170.236
Michael Bisping,253.890,2016,20-9-0,143.311
Vicente Luque,253.367,2021,14-5-0,140.488
Neil Magny,252.809,2022,20-9-0,149.356
Valentina Shevchenko,250.716,2022,12-3-0,145.304
Royce Gracie,249.995,1995,11-1-1,128.495
Derrick Lewis,249.450,2021,17-9-0,146.770
Cain Velasquez,247.321,2013,12-3-0,156.986
Gilbert Burns,247.003,2023,15-6-0,160.982
Junior Dos Santos,246.554,2019,15-8-0,161.078
Colby Covington,245.048,2019,12-3-0,181.098
Andrei Arlovski,243.422,2015,23-16-0,127.147
Curtis Blaydes,242.492,2022,12-4-0,157.500
Johny Hendricks,241.808,2014,13-8-0,164.914
Arnold Allen,241.569,2022,10-1-0,136.942
TJ Dillashaw,240.503,2018,13-5-0,160.273
Ryan Bader,239.312,2016,15-5-0,147.086
Henry Cejudo,238.868,2020,10-3-0,186.238
Derek Brunson,235.402,2021,14-7-0,155.310
Francisco Trinaldo,233.442,2022,18-8-0,133.538
Sean Strickland,233.049,2022,13-5-0,139.978
Darren Elkins,232.558,2018,17-10-0,125.172
Robbie Lawler,232.280,2016,14-10-0,164.052
Yoel Romero,231.745,2016,9-4-0,181.604
Deiveson Figueiredo,231.019,2020,10-3-1,164.327
Josh Koscheck,230.815,2012,15-10-0,136.311
Tito Ortiz,229.821,2006,14-11-1,154.019
Tyron Woodley,229.538,2018,9-6-1,196.012
Conor McGregor,229.307,2020,10-4-0,193.113
Jim Miller,229.275,2014,25-16-0,134.764
Anthony Johnson,228.062,2016,13-6-0,149.845
Raphael Assuncao,227.909,2018,12-7-0,131.988
Dong Hyun Kim,226.905,2016,13-4-0,128.937
Lyoto Machida,226.450,2014,16-8-0,162.516
Benson Henderson,226.103,2014,11-3-0,171.552
Gray Maynard,224.267,2010,11-7-1,142.347
John Lineker,223.615,2018,12-4-0,123.946
Yair Rodriguez,223.379,2023,10-2-0,155.198
Rich Franklin,223.328,2008,14-6-0,137.190
Yushin Okami,223.279,2013,14-7-0,138.281
Magomed Ankalaev,221.794,2022,9-1-1,135.815
Edson Barboza,221.488,2017,17-11-0,149.766
Marlon Vera,221.486,2022,14-7-0,132.404
James Vick,221.054,2018,9-5-0,138.580
Jose Aldo,219.218,2019,13-7-0,186.793
Joanna Jedrzejczyk,218.258,2017,10-5-0,138.079
Randy Couture,218.019,2007,16-8-0,156.794
Jan Blachowicz,217.465,2022,12-6-1,160.940
BJ Penn,216.496,2009,12-13-2,167.667
Ciryl Gane,216.211,2022,8-2-0,189.883
Kenny Florian,215.927,2010,12-5-0,132.149
Michel Prazeres,215.189,2018,10-4-0,111.622
Michael Chiesa,214.990,2021,11-6-0,157.529
Jessica Andrade,214.967,2023,15-9-0,139.515
Mike Swick,214.916,2009,10-5-0,126.402
Merab Dvalishvili,214.812,2023,9-2-0,132.332
Stephen Thompson,214.404,2016,12-6-1,163.110
Santiago Ponzinibbio,214.105,2018,11-6-0,145.088
Vitor Belfort,214.091,2013,15-10-0,162.380
Kelvin Gastelum,214.074,2018,12-8-0,166.446
Fabricio Werdum,213.974,2017,12-6-0,155.940
Thiago Santos,213.646,2019,14-10-0,140.201
Josh Emmett,213.594,2022,9-3-0,151.726
Diego Sanchez,212.402,2009,19-13-0,139.893
Kevin Lee,211.791,2018,11-7-0,159.232
Frank Mir,211.271,2011,16-11-0,127.904
Don Frye,211.003,1996,9-1-0,120.341
Petr Yan,210.612,2021,8-4-0,169.169
Rory MacDonald,210.163,2014,9-4-0,152.005
Gegard Mousasi,208.649,2017,9-3-0,158.465
Dan Severn,208.594,1996,9-4-0,143.206
Brad Tavares,208.572,2018,14-8-0,128.447
Cub Swanson,208.282,2017,13-9-0,148.133
Cory Sandhagen,208.067,2023,9-3-0,185.569
Grant Dawson,207.797,2022,7-0-1,133.468
Movsar Evloev,207.628,2023,7-0-0,134.947
Rose Namajunas,207.356,2021,9-4-0,160.476
Brian Ortega,207.240,2020,7-3-0,184.585
Evan Tanner,206.831,2005,11-6-0,117.101
Rustam Khabilov,206.624,2018,10-3-0,132.441
George Sotiropoulos,205.925,2010,7-4-0,122.506
Rani Yahya,205.596,2021,13-5-1,105.902
Brendan Allen,205.493,2023,9-2-0,134.383
Renan Barao,205.423,2014,9-8-0,122.792
Giga Chikadze,205.057,2021,7-1-0,127.230
Raquel Pennington,205.032,2023,12-5-0,127.178
Thales Leites,204.866,2015,13-8-0,131.941
Phil Davis,204.522,2013,9-3-0,138.984
Song Yadong,203.780,2022,9-2-1,141.005
Katlyn Chookagian,203.711,2022,11-5-0,130.098
Brandon Moreno,203.662,2023,9-3-2,162.958
Matt Brown,203.163,2014,17-13-0,130.841
Jacare Souza,202.566,2018,9-7-0,172.945
Sean O'Malley,202.445,2022,8-1-0,124.711
Leonardo Santos,202.418,2020,7-3-1,124.592
Jorge Masvidal,202.283,2019,12-10-0,174.971
Gleison Tibau,201.746,2015,16-12-0,118.931
Carla Esparza,200.500,2022,10-5-0,135.369
Pat Miletich,200.402,2000,8-2-0,115.436
Dan Hooker,200.064,2020,12-8-0,149.446
Thiago Alves,199.910,2008,14-12-0,141.740
Diego Ferreira,199.775,2020,9-5-0,144.986
Al Iaquinta,199.078,2018,9-6-0,150.105
Alexander Volkov,198.848,2023,10-4-0,162.500
Randy Brown,198.765,2022,10-5-0,136.246
Khamzat Chimaev,198.637,2022,6-0-0,148.902
Alexander Gustafsson,198.170,2014,10-8-0,162.454
Ricky Simon,198.069,2022,8-3-0,146.974
Rob Font,197.617,2021,10-5-0,150.560
Cody Garbrandt,196.010,2016,8-5-0,156.344
Mark Coleman,195.590,1997,7-5-0,128.810
Elizeu Zaleski dos Santos,195.558,2023,10-3-0,120.689
Martin Kampmann,195.307,2012,11-6-0,133.029
Alex Morono,194.893,2022,12-5-0,116.140
Ricardo Lamas,194.826,2017,11-6-0,149.062
Alistair Overeem,194.822,2020,12-8-0,159.644
Alex Oliveira,194.579,2018,11-10-0,129.631
Chad Mendes,194.571,2015,9-5-0,157.319
Tim Sylvia,194.381,2006,9-4-0,139.147
Nik Lentz,194.381,2019,14-9-1,129.298
Dominick Reyes,194.002,2019,6-4-0,159.183
Jonathan Martinez,193.984,2023,9-3-0,119.183
Mike Pierce,193.741,2013,9-5-0,135.302
Jake Ellenberger,193.648,2013,10-11-0,139.365
Matt Hamill,193.539,2010,9-5-0,131.245
Daniel Rodriguez,192.939,2022,7-3-0,143.665
